municipio_id;municipio_nombre;departamento;codigo_departamento;zona_geografica;es_capital_departamental;poblacion_depto_estimada
MUN-046;Potosí;Potosí;PT;Altiplano;TRUE;887509
MUN-047;Llallagua;Potosí;PT;Altiplano;FALSE;887509
MUN-048;Villazón;Potosí;PT;Altiplano;FALSE;887509
MUN-049;Tupiza;Potosí;PT;Altiplano;FALSE;887509
MUN-050;Uyuni;Potosí;PT;Altiplano;FALSE;887509
MUN-051;Betanzos;Potosí;PT;Altiplano;FALSE;887509
MUN-052;Colquechaca;Potosí;PT;Altiplano;FALSE;887509
MUN-053;Uncía;Potosí;PT;Altiplano;FALSE;887509
MUN-054;Cotagaita;Potosí;PT;Altiplano;FALSE;887509
MUN-055;Puna;Potosí;PT;Altiplano;FALSE;887509
MUN-056;Sacaca;Potosí;PT;Altiplano;FALSE;887509
MUN-057;Ravelo;Potosí;PT;Altiplano;FALSE;887509
MUN-058;Tinguipaya;Potosí;PT;Altiplano;FALSE;887509
MUN-059;Oruro;Oruro;OR;Altiplano;TRUE;538846
MUN-060;Huanuni;Oruro;OR;Altiplano;FALSE;538846
MUN-061;Challapata;Oruro;OR;Altiplano;FALSE;538846
MUN-062;Caracollo;Oruro;OR;Altiplano;FALSE;538846
MUN-063;Machacamarca;Oruro;OR;Altiplano;FALSE;538846
MUN-064;Eucaliptus;Oruro;OR;Altiplano;FALSE;538846
MUN-065;Poopó;Oruro;OR;Altiplano;FALSE;538846
MUN-066;Antequera;Oruro;OR;Altiplano;FALSE;538846
MUN-067;Pazña;Oruro;OR;Altiplano;FALSE;538846
MUN-068;Salinas de Garci Mendoza;Oruro;OR;Altiplano;FALSE;538846
MUN-069;Chipaya;Oruro;OR;Altiplano;FALSE;538846
MUN-070;Toledo;Oruro;OR;Altiplano;FALSE;538846
MUN-071;Sucre;Chuquisaca;CH;Valle;TRUE;637013
MUN-072;Camargo;Chuquisaca;CH;Valle;FALSE;637013
MUN-073;Monteagudo;Chuquisaca;CH;Valle;FALSE;637013
MUN-074;Padilla;Chuquisaca;CH;Valle;FALSE;637013
MUN-075;Tarabuco;Chuquisaca;CH;Valle;FALSE;637013
MUN-076;Zudáñez;Chuquisaca;CH;Valle;FALSE;637013
MUN-077;Mojocoya;Chuquisaca;CH;Valle;FALSE;637013
MUN-078;Yamparáez;Chuquisaca;CH;Valle;FALSE;637013
MUN-079;Presto;Chuquisaca;CH;Valle;FALSE;637013
MUN-080;Villa Serrano;Chuquisaca;CH;Valle;FALSE;637013
MUN-081;Huacareta;Chuquisaca;CH;Valle;FALSE;637013
MUN-082;Villa Abecia;Chuquisaca;CH;Valle;FALSE;637013
MUN-083;Tarija;Tarija;TJ;Valle;TRUE;583335
MUN-084;Yacuiba;Tarija;TJ;Valle;FALSE;583335
MUN-085;Bermejo;Tarija;TJ;Valle;FALSE;583335
MUN-086;Villamontes;Tarija;TJ;Valle;FALSE;583335
MUN-087;San Lorenzo;Tarija;TJ;Valle;FALSE;583335
MUN-088;El Puente;Tarija;TJ;Valle;FALSE;583335
MUN-089;Entre Ríos;Tarija;TJ;Valle;FALSE;583335
MUN-090;Caraparí;Tarija;TJ;Valle;FALSE;583335
MUN-091;Uriondo;Tarija;TJ;Valle;FALSE;583335
MUN-092;Padcaya;Tarija;TJ;Valle;FALSE;583335
MUN-093;Trinidad;Beni;BN;Llano;TRUE;479264
MUN-094;Riberalta;Beni;BN;Llano;FALSE;479264
MUN-095;Guayaramerín;Beni;BN;Llano;FALSE;479264
MUN-096;San Borja;Beni;BN;Llano;FALSE;479264
MUN-097;San Ignacio de Moxos;Beni;BN;Llano;FALSE;479264
MUN-098;Rurrenabaque;Beni;BN;Llano;FALSE;479264
MUN-099;Santa Ana del Yacuma;Beni;BN;Llano;FALSE;479264
MUN-100;Reyes;Beni;BN;Llano;FALSE;479264
MUN-101;San Ramón;Beni;BN;Llano;FALSE;479264
MUN-102;Magdalena;Beni;BN;Llano;FALSE;479264
MUN-103;Cobija;Pando;PD;Llano;TRUE;148245
MUN-104;Porvenir;Pando;PD;Llano;FALSE;148245
MUN-105;Bolpebra;Pando;PD;Llano;FALSE;148245
MUN-106;Bella Flor;Pando;PD;Llano;FALSE;148245
MUN-107;Puerto Rico;Pando;PD;Llano;FALSE;148245
MUN-108;San Lorenzo (Pando);Pando;PD;Llano;FALSE;148245
MUN-109;El Sena;Pando;PD;Llano;FALSE;148245
MUN-110;Santa Rosa del Abuná;Pando;PD;Llano;FALSE;148245
